Audiences;Stakehholder value;Starter;Intermediate;Advanced;Comments
Strategic;Higher;Number of ad-hoc PIRs requested (e.g. RFIs);Number of intelligence products created that include forecasting and filtered per PIR;Number of revenue saved (currency);
;;Number of ad-hoc PIRs not meeting the standing list of PIRs;Number of non-security projects, where CTI contributed to actionable insights (e.g. M&A);"Mean cost of breach; Downtime";
;;Percentage of qualitative feedback loops completed for standing PIRs;;"Mean cost of breach; resources to address breach";
;Lesser;Number of PIRs documented;Number of intelligence products created;Number of cost of CTI capacity vs revenue saved;
;;Number of stakeholders;;;
Tactical;Higher;Number of ad-hoc PIRs requested (e.g. RFIs);Number of new intelligence produced from IR cases;"Impact over year; Mean time to detect";GB: Optionally combine with % change based on # of ad-hoc PIRs feedback received.
;;Number of ad-hoc PIRs not meeting the standing list of PIRs;Incident criticality impacted by TI (e.g. urgent patching);"Impact over year; Mean time to respond";GB: Optionally combine with % change based on # of ad-hoc PIRs feedback received.
;;Percentage of qualitative feedback loops completed for standing PIRs;Number of TTPs emulated, measured against ATT&CK, not detected by SOC.;;GB: Optionally combine with trend reporting.
;;Number of new incidents discovered through CTI;;;
;;Total Number of curated intelligence products  ;;;
;;Number of tracked TTPs targeting client or similar companies;;;
;Lesser;Number of PIRs documented;Number of TTPs emulated, measured against ATT&CK;Weeded out through continuous improvement;
;;Number of adversaries identified targeting client;;;
;;Number of campaigns identified directly targeting client;;;
Operational;Higher;Number of ad-hoc PIRs requested (e.g. RFIs);Percentage of false positive ratio for ingested feeds (feed efficiency metrics);Percentage of assessments made in intelligence products that were incorrect;
;;Number of ad-hoc PIRs not meeting the standing list of PIRs;New intelligence produced from IR cases;;
;;Percentage of qualitative feedback loops completed for standing PIRs;Incident criticality impacted by TI (e.g. urgent patching);;
;;Number of IOCs, added to SOC workflow(s);Internal incident trend analysis;;
;;Number of IOCs, observed across security solutions (various);Number of countermeasures enabled by CTI input ;;
;;Percentage/Number of internal incidents that has had CTI follow-up or worked on;Source management & analysis metrics;;
;;Number of new incidents discovered through CTI;Percentage of hunts created based on CTI input;;
;;Percentage of reported incidents correlated with IOCs ;;;
;;Number of IOCs parsed from previous incidents;;;GB: If you stay longer in this segment than 6 months, you are not growing as a practice, team or individual. 
;;Number of IOCs shared through MISP with (industry) peers;;;GB: If you stay longer in this segment than 6 months, you are not growing as a practice, team or individual. 
;;Vulnerability related metrics (depending on PIRs!);;;
;;Sources management: Coverage;;;
;Lesser;Number of ingested feeds;Starting to get weeded out at this point;Weeded out through continuous improvement;GB: If you stay longer in this segment than 6 months, you are not growing as a practice, team or individual. 
;;Number of ingested & processed IOCs;;;GB: If you stay longer in this segment than 6 months, you are not growing as a practice, team or individual. 
;;Number of IOCs shared through MISP;;;GB: If you stay longer in this segment than 6 months, you are not growing as a practice, team or individual. 
;;Number of reports read;;;
;;Individual IOC detection statistics per security solution;;;
;;Number of incidents in progress;;;
;;Number of PIRs documented for operational stakeholder(s);;;
